batch_index: 1
start_index: 0
end_index: 100
total_prompt_tokens: 456451
total_completion_tokens: 61321
total_tokens: 517772
total_runtime_seconds: 993.04
# per_article: index	article_id	prompt_tokens	completion_tokens	total_tokens	api_rounds
0	A000	6677	3153	9830	2
1	A001	4322	891	5213	2
2	A002	11983	2125	14108	3
3	A003	4175	7	4182	1
4	A004	13248	2629	15877	2
5	A005	2418	7	2425	1
6	A006	2320	7	2327	1
7	A007	7353	2222	9575	2
8	A008	3490	588	4078	2
9	A009	2469	7	2476	1
10	A010	2298	7	2305	1
11	A011	3632	421	4053	1
12	A012	2892	7	2899	1
13	A013	5798	694	6492	2
14	A014	3094	257	3351	1
15	A015	4851	1150	6001	2
16	A016	4781	1098	5879	2
17	A017	3252	517	3769	2
18	A018	4919	1176	6095	2
19	A019	12071	2076	14147	3
20	A020	4458	651	5109	2
21	A021	2892	7	2899	1
22	A022	2505	7	2512	1
23	A023	3352	7	3359	1
24	A024	5201	492	5693	2
25	A025	2642	7	2649	1
26	A026	3391	7	3398	1
27	A027	18084	3598	21682	2
28	A028	3155	5	3160	1
29	A029	3410	216	3626	1
30	A030	2470	7	2477	1
31	A031	4617	988	5605	2
32	A032	3429	532	3961	2
33	A033	11854	2125	13979	3
34	A034	3374	7	3381	1
35	A035	6347	795	7142	2
36	A036	3665	436	4101	2
37	A037	4240	725	4965	2
38	A038	4181	5	4186	1
39	A039	4986	5	4991	1
40	A040	2966	221	3187	1
41	A041	2466	7	2473	1
42	A042	2691	437	3128	1
43	A043	2888	7	2895	1
44	A044	3301	7	3308	1
45	A045	2971	500	3471	2
46	A046	4876	956	5832	2
47	A047	3019	7	3026	1
48	A048	6649	1721	8370	2
49	A049	2463	7	2470	1
50	A050	6705	2724	9429	2
51	A051	3567	708	4275	2
52	A052	7188	7	7195	1
53	A053	4613	393	5006	1
54	A054	3189	529	3718	2
55	A055	2980	7	2987	1
56	A056	2716	7	2723	1
57	A057	4677	7	4684	1
58	A058	15448	5484	20932	2
59	A059	3792	7	3799	1
60	A060	3726	7	3733	1
61	A061	3051	7	3058	1
62	A062	2866	7	2873	1
63	A063	2491	7	2498	1
64	A064	3251	7	3258	1
65	A065	3597	7	3604	1
66	A066	19237	4150	23387	4
67	A067	5121	433	5554	1
68	A068	3774	5	3779	1
69	A069	5055	7	5062	1
70	A070	4254	763	5017	2
71	A071	3153	7	3160	1
72	A072	6031	1247	7278	2
73	A073	3398	445	3843	1
74	A074	2244	7	2251	1
75	A075	2741	7	2748	1
76	A076	3128	7	3135	1
77	A077	4694	1371	6065	2
78	A078	2814	7	2821	1
79	A079	6342	1517	7859	2
80	A080	2483	7	2490	1
81	A081	2515	7	2522	1
82	A082	2748	7	2755	1
83	A083	9370	1757	11127	3
84	A084	2929	433	3362	1
85	A085	3013	431	3444	1
86	A086	3429	7	3436	1
87	A087	5646	1660	7306	2
88	A088	3667	498	4165	2
89	A089	2431	7	2438	1
90	A090	3942	541	4483	2
91	A091	2266	7	2273	1
92	A092	3299	544	3843	2
93	A093	2372	401	2773	1
94	A094	6563	1147	7710	2
95	A095	3128	7	3135	1
96	A096	3433	7	3440	1
97	A097	3860	420	4280	2
98	A098	2430	7	2437	1
99	A099	2498	7	2505	1
